Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s0,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s1,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s2,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s3,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s4,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s5,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s6,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s7,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s8,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s9,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s10,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s11,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s12,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s13,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s14,twitterId,462348
Thu Aug 27 2015 13:30:42 GMT+0800 (China Standard Time),,s15,twitterId,462348
Thu Aug 27 2015 13:30:58 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:30:59 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:31:01 GMT+0800 (China Standard Time),,s0w2,focus,
Thu Aug 27 2015 13:31:03 GMT+0800 (China Standard Time),,s0w3,focus,
Thu Aug 27 2015 13:31:04 GMT+0800 (China Standard Time),,s0w4,focus,
Thu Aug 27 2015 13:31:06 GMT+0800 (China Standard Time),,s0w5,focus,
Thu Aug 27 2015 13:31:06 GMT+0800 (China Standard Time),,s0w6,focus,
Thu Aug 27 2015 13:31:06 GMT+0800 (China Standard Time),,s0w7,focus,
Thu Aug 27 2015 13:31:06 GMT+0800 (China Standard Time),,s0w8,focus,
Thu Aug 27 2015 13:31:07 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:31:07 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:31:07 GMT+0800 (China Standard Time),,s1w3,focus,
Thu Aug 27 2015 13:31:07 GMT+0800 (China Standard Time),,s1w4,focus,
Thu Aug 27 2015 13:31:08 GMT+0800 (China Standard Time),,s1w5,focus,
Thu Aug 27 2015 13:31:08 GMT+0800 (China Standard Time),,s1w6,focus,
Thu Aug 27 2015 13:31:08 GMT+0800 (China Standard Time),,s1w7,focus,
Thu Aug 27 2015 13:31:08 GMT+0800 (China Standard Time),,s1w8,focus,
Thu Aug 27 2015 13:31:09 GMT+0800 (China Standard Time),,s1w9,focus,
Thu Aug 27 2015 13:31:09 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:31:09 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:31:10 GMT+0800 (China Standard Time),,s1w12,focus,
Thu Aug 27 2015 13:31:11 GMT+0800 (China Standard Time),,s1w13,focus,
Thu Aug 27 2015 13:31:11 GMT+0800 (China Standard Time),,s1w14,focus,
Thu Aug 27 2015 13:31:11 GMT+0800 (China Standard Time),,s1w15,focus,
Thu Aug 27 2015 13:31:11 GMT+0800 (China Standard Time),,s1w16,focus,
Thu Aug 27 2015 13:31:12 GMT+0800 (China Standard Time),,s1w17,focus,
Thu Aug 27 2015 13:31:12 GMT+0800 (China Standard Time),,s1w18,focus,
Thu Aug 27 2015 13:31:12 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:31:12 GMT+0800 (China Standard Time),,s1w20,focus,
Thu Aug 27 2015 13:31:12 GMT+0800 (China Standard Time),,s1w21,focus,
Thu Aug 27 2015 13:31:13 GMT+0800 (China Standard Time),,s1w22,focus,
Thu Aug 27 2015 13:31:14 GMT+0800 (China Standard Time),,s1w23,focus,
Thu Aug 27 2015 13:31:15 GMT+0800 (China Standard Time),,s1w24,focus,
Thu Aug 27 2015 13:31:15 GMT+0800 (China Standard Time),,s1w25,focus,
Thu Aug 27 2015 13:31:15 GMT+0800 (China Standard Time),,s1w26,focus,
Thu Aug 27 2015 13:31:17 GMT+0800 (China Standard Time),,s1w27,focus,
Thu Aug 27 2015 13:31:17 GMT+0800 (China Standard Time),,s1w27,label,"N"
Thu Aug 27 2015 13:31:18 GMT+0800 (China Standard Time),,s1w28,focus,
Thu Aug 27 2015 13:31:18 GMT+0800 (China Standard Time),,s1w29,focus,
Thu Aug 27 2015 13:31:19 GMT+0800 (China Standard Time),,s1w30,focus,
Thu Aug 27 2015 13:31:19 GMT+0800 (China Standard Time),,s1w31,focus,
Thu Aug 27 2015 13:31:20 GMT+0800 (China Standard Time),,s1w32,focus,
Thu Aug 27 2015 13:31:20 GMT+0800 (China Standard Time),,s1w33,focus,
Thu Aug 27 2015 13:31:20 GMT+0800 (China Standard Time),,s1w34,focus,
Thu Aug 27 2015 13:31:21 GMT+0800 (China Standard Time),,s1w35,focus,
Thu Aug 27 2015 13:31:21 GMT+0800 (China Standard Time),,s1w36,focus,
Thu Aug 27 2015 13:31:22 GMT+0800 (China Standard Time),,s1w37,focus,
Thu Aug 27 2015 13:31:22 GMT+0800 (China Standard Time),,s1w38,focus,
Thu Aug 27 2015 13:31:22 GMT+0800 (China Standard Time),,s1w39,focus,
Thu Aug 27 2015 13:31:23 GMT+0800 (China Standard Time),,s1w40,focus,
Thu Aug 27 2015 13:31:23 GMT+0800 (China Standard Time),,s1w41,focus,
Thu Aug 27 2015 13:31:23 GMT+0800 (China Standard Time),,s1w42,focus,
Thu Aug 27 2015 13:31:23 GMT+0800 (China Standard Time),,s1w43,focus,
Thu Aug 27 2015 13:31:24 GMT+0800 (China Standard Time),,s1w44,focus,
Thu Aug 27 2015 13:31:24 GMT+0800 (China Standard Time),,s1w45,focus,
Thu Aug 27 2015 13:31:25 GMT+0800 (China Standard Time),,s1w46,focus,
Thu Aug 27 2015 13:31:25 GMT+0800 (China Standard Time),,s1w47,focus,
Thu Aug 27 2015 13:31:26 GMT+0800 (China Standard Time),,s1w48,focus,
Thu Aug 27 2015 13:31:26 GMT+0800 (China Standard Time),,s1w49,focus,
Thu Aug 27 2015 13:31:26 GMT+0800 (China Standard Time),,s1w50,focus,
Thu Aug 27 2015 13:31:27 GMT+0800 (China Standard Time),,s1w51,focus,
Thu Aug 27 2015 13:31:27 GMT+0800 (China Standard Time),,s1w52,focus,
Thu Aug 27 2015 13:31:27 GMT+0800 (China Standard Time),,s1w53,focus,
Thu Aug 27 2015 13:31:29 GMT+0800 (China Standard Time),,s1w53,label,"^"
Thu Aug 27 2015 13:31:30 GMT+0800 (China Standard Time),,s1w54,focus,
Thu Aug 27 2015 13:31:30 GMT+0800 (China Standard Time),,s1w55,focus,
Thu Aug 27 2015 13:31:31 GMT+0800 (China Standard Time),,s1w56,focus,
Thu Aug 27 2015 13:31:31 GMT+0800 (China Standard Time),,s1w57,focus,
Thu Aug 27 2015 13:31:31 GMT+0800 (China Standard Time),,s1w58,focus,
Thu Aug 27 2015 13:31:32 GMT+0800 (China Standard Time),,s1w59,focus,
Thu Aug 27 2015 13:31:32 GMT+0800 (China Standard Time),,s1w60,focus,
Thu Aug 27 2015 13:31:32 GMT+0800 (China Standard Time),,s1w61,focus,
Thu Aug 27 2015 13:31:33 GMT+0800 (China Standard Time),,s1w62,focus,
Thu Aug 27 2015 13:31:33 GMT+0800 (China Standard Time),,s1w63,focus,
Thu Aug 27 2015 13:31:33 GMT+0800 (China Standard Time),,s1w64,focus,
Thu Aug 27 2015 13:31:34 GMT+0800 (China Standard Time),,s1w65,focus,
Thu Aug 27 2015 13:31:34 GMT+0800 (China Standard Time),,s1w66,focus,
Thu Aug 27 2015 13:31:35 GMT+0800 (China Standard Time),,s1w67,focus,
Thu Aug 27 2015 13:31:35 GMT+0800 (China Standard Time),,s1w68,focus,
