Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s0,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s1,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s2,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s3,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s4,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s5,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s6,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s7,twitterId,516565
Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,s8,twitterId,516565
Thu Aug 27 2015 13:51:08 GMT+0800 (China Standard Time),,s0w10,focus,
Thu Aug 27 2015 13:51:08 GMT+0800 (China Standard Time),,s0w10,focus,
Thu Aug 27 2015 13:51:09 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:51:09 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:51:10 GMT+0800 (China Standard Time),,s0w2,focus,
Thu Aug 27 2015 13:51:10 GMT+0800 (China Standard Time),,s0w3,focus,
Thu Aug 27 2015 13:51:11 GMT+0800 (China Standard Time),,s0w4,focus,
Thu Aug 27 2015 13:51:12 GMT+0800 (China Standard Time),,s0w4,label,"^"
Thu Aug 27 2015 13:51:12 GMT+0800 (China Standard Time),,s0w5,focus,
Thu Aug 27 2015 13:51:14 GMT+0800 (China Standard Time),,s0w6,focus,
Thu Aug 27 2015 13:51:14 GMT+0800 (China Standard Time),,s0w7,focus,
Thu Aug 27 2015 13:51:15 GMT+0800 (China Standard Time),,s0w7,label,"^"
Thu Aug 27 2015 13:51:17 GMT+0800 (China Standard Time),,s0w8,focus,
Thu Aug 27 2015 13:51:19 GMT+0800 (China Standard Time),,s0w9,focus,
Thu Aug 27 2015 13:51:19 GMT+0800 (China Standard Time),,s0w10,focus,
Thu Aug 27 2015 13:51:20 GMT+0800 (China Standard Time),,s0w10,label,"^"
Thu Aug 27 2015 13:51:21 GMT+0800 (China Standard Time),,s0w11,focus,
Thu Aug 27 2015 13:51:21 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:51:21 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:51:21 GMT+0800 (China Standard Time),,s1w3,focus,
Thu Aug 27 2015 13:51:22 GMT+0800 (China Standard Time),,s1w4,focus,
Thu Aug 27 2015 13:51:22 GMT+0800 (China Standard Time),,s1w5,focus,
Thu Aug 27 2015 13:51:22 GMT+0800 (China Standard Time),,s1w6,focus,
Thu Aug 27 2015 13:51:23 GMT+0800 (China Standard Time),,s1w7,focus,
Thu Aug 27 2015 13:51:24 GMT+0800 (China Standard Time),,s1w8,focus,
Thu Aug 27 2015 13:51:24 GMT+0800 (China Standard Time),,s1w9,focus,
Thu Aug 27 2015 13:51:24 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:51:24 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:51:25 GMT+0800 (China Standard Time),,s1w12,focus,
Thu Aug 27 2015 13:51:25 GMT+0800 (China Standard Time),,s1w13,focus,
Thu Aug 27 2015 13:51:26 GMT+0800 (China Standard Time),,s1w14,focus,
Thu Aug 27 2015 13:51:26 GMT+0800 (China Standard Time),,s1w15,focus,
Thu Aug 27 2015 13:51:26 GMT+0800 (China Standard Time),,s1w16,focus,
Thu Aug 27 2015 13:51:26 GMT+0800 (China Standard Time),,s1w17,focus,
Thu Aug 27 2015 13:51:27 GMT+0800 (China Standard Time),,s1w18,focus,
Thu Aug 27 2015 13:51:27 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:51:27 GMT+0800 (China Standard Time),,s1w20,focus,
Thu Aug 27 2015 13:51:27 GMT+0800 (China Standard Time),,s1w21,focus,
Thu Aug 27 2015 13:51:28 GMT+0800 (China Standard Time),,s1w22,focus,
Thu Aug 27 2015 13:51:28 GMT+0800 (China Standard Time),,s1w23,focus,
Thu Aug 27 2015 13:51:28 GMT+0800 (China Standard Time),,s1w24,focus,
Thu Aug 27 2015 13:51:28 GMT+0800 (China Standard Time),,s1w25,focus,
Thu Aug 27 2015 13:51:29 GMT+0800 (China Standard Time),,s1w26,focus,
Thu Aug 27 2015 13:51:29 GMT+0800 (China Standard Time),,s1w27,focus,
Thu Aug 27 2015 13:51:29 GMT+0800 (China Standard Time),,s1w28,focus,
Thu Aug 27 2015 13:51:29 GMT+0800 (China Standard Time),,s1w29,focus,
Thu Aug 27 2015 13:51:30 GMT+0800 (China Standard Time),,s1w30,focus,
Thu Aug 27 2015 13:51:30 GMT+0800 (China Standard Time),,s1w31,focus,
Thu Aug 27 2015 13:51:30 GMT+0800 (China Standard Time),,s1w32,focus,
Thu Aug 27 2015 13:51:31 GMT+0800 (China Standard Time),,s1w33,focus,
Thu Aug 27 2015 13:51:31 GMT+0800 (China Standard Time),,s1w34,focus,
Thu Aug 27 2015 13:51:31 GMT+0800 (China Standard Time),,s1w35,focus,
Thu Aug 27 2015 13:51:31 GMT+0800 (China Standard Time),,s1w36,focus,
Thu Aug 27 2015 13:51:32 GMT+0800 (China Standard Time),,s1w37,focus,
Thu Aug 27 2015 13:51:32 GMT+0800 (China Standard Time),,s1w38,focus,
Thu Aug 27 2015 13:51:33 GMT+0800 (China Standard Time),,s1w39,focus,
Thu Aug 27 2015 13:51:33 GMT+0800 (China Standard Time),,s1w39,label,"^"
Thu Aug 27 2015 13:51:34 GMT+0800 (China Standard Time),,s1w40,focus,
Thu Aug 27 2015 13:51:34 GMT+0800 (China Standard Time),,s1w41,focus,
Thu Aug 27 2015 13:51:34 GMT+0800 (China Standard Time),,s1w42,focus,
Thu Aug 27 2015 13:51:35 GMT+0800 (China Standard Time),,s1w43,focus,
Thu Aug 27 2015 13:51:35 GMT+0800 (China Standard Time),,s1w44,focus,
Thu Aug 27 2015 13:51:36 GMT+0800 (China Standard Time),,s1w44,label,"^"
Thu Aug 27 2015 13:51:37 GMT+0800 (China Standard Time),,s1w45,focus,
Thu Aug 27 2015 13:51:37 GMT+0800 (China Standard Time),,s1w46,focus,
Thu Aug 27 2015 13:51:38 GMT+0800 (China Standard Time),,s1w47,focus,
Thu Aug 27 2015 13:51:38 GMT+0800 (China Standard Time),,s1w48,focus,
Thu Aug 27 2015 13:51:38 GMT+0800 (China Standard Time),,s1w49,focus,
Thu Aug 27 2015 13:51:38 GMT+0800 (China Standard Time),,s1w50,focus,
Thu Aug 27 2015 13:51:39 GMT+0800 (China Standard Time),,s1w51,focus,
Thu Aug 27 2015 13:51:39 GMT+0800 (China Standard Time),,s1w52,focus,
Thu Aug 27 2015 13:51:39 GMT+0800 (China Standard Time),,s1w53,focus,
Thu Aug 27 2015 13:51:41 GMT+0800 (China Standard Time),,s1w54,focus,
Thu Aug 27 2015 13:51:48 GMT+0800 (China Standard Time),,s1w43,focus,
Thu Aug 27 2015 13:51:48 GMT+0800 (China Standard Time),,s1w43,focus,
Thu Aug 27 2015 13:51:49 GMT+0800 (China Standard Time),,s1w43,label,"^"
Thu Aug 27 2015 13:51:50 GMT+0800 (China Standard Time),,s1w44,focus,
Thu Aug 27 2015 13:51:50 GMT+0800 (China Standard Time),,s1w45,focus,
Thu Aug 27 2015 13:51:50 GMT+0800 (China Standard Time),,s1w46,focus,
Thu Aug 27 2015 13:51:51 GMT+0800 (China Standard Time),,s1w47,focus,
