Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s0,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s1,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s2,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s3,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s4,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s5,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s6,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s7,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s8,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s9,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s10,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s11,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s12,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s13,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s14,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s15,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s16,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s17,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s18,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s19,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s20,twitterId,421419
Wed Aug 26 2015 20:57:04 GMT+0800 (China Standard Time),,s21,twitterId,421419
Wed Aug 26 2015 21:00:30 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:00:30 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:00:32 GMT+0800 (China Standard Time),,s0w2,focus,
Wed Aug 26 2015 21:00:33 GMT+0800 (China Standard Time),,s0w3,focus,
Wed Aug 26 2015 21:00:33 GMT+0800 (China Standard Time),,s0w4,focus,
Wed Aug 26 2015 21:00:34 GMT+0800 (China Standard Time),,s0w5,focus,
Wed Aug 26 2015 21:00:34 GMT+0800 (China Standard Time),,s0w6,focus,
Wed Aug 26 2015 21:00:35 GMT+0800 (China Standard Time),,s0w7,focus,
Wed Aug 26 2015 21:00:35 GMT+0800 (China Standard Time),,s0w8,focus,
Wed Aug 26 2015 21:00:35 GMT+0800 (China Standard Time),,s1w1,focus,
Wed Aug 26 2015 21:00:36 GMT+0800 (China Standard Time),,s1w2,focus,
Wed Aug 26 2015 21:00:36 GMT+0800 (China Standard Time),,s1w3,focus,
Wed Aug 26 2015 21:00:36 GMT+0800 (China Standard Time),,s1w4,focus,
Wed Aug 26 2015 21:00:36 GMT+0800 (China Standard Time),,s1w5,focus,
Wed Aug 26 2015 21:00:38 GMT+0800 (China Standard Time),,s1w4,focus,
Wed Aug 26 2015 21:00:38 GMT+0800 (China Standard Time),,s1w4,focus,
Wed Aug 26 2015 21:00:39 GMT+0800 (China Standard Time),,s1w4,label,"^"
Wed Aug 26 2015 21:00:43 GMT+0800 (China Standard Time),,s1w5,focus,
Wed Aug 26 2015 21:00:43 GMT+0800 (China Standard Time),,s1w6,focus,
Wed Aug 26 2015 21:00:44 GMT+0800 (China Standard Time),,s1w7,focus,
Wed Aug 26 2015 21:00:46 GMT+0800 (China Standard Time),,s1w7,label,"N"
Wed Aug 26 2015 21:00:47 GMT+0800 (China Standard Time),,s1w8,focus,
Wed Aug 26 2015 21:00:47 GMT+0800 (China Standard Time),,s1w9,focus,
Wed Aug 26 2015 21:00:51 GMT+0800 (China Standard Time),,s1w10,focus,
Wed Aug 26 2015 21:00:51 GMT+0800 (China Standard Time),,s1w11,focus,
Wed Aug 26 2015 21:00:52 GMT+0800 (China Standard Time),,s1w12,focus,
Wed Aug 26 2015 21:00:52 GMT+0800 (China Standard Time),,s1w13,focus,
Wed Aug 26 2015 21:00:52 GMT+0800 (China Standard Time),,s1w14,focus,
Wed Aug 26 2015 21:00:53 GMT+0800 (China Standard Time),,s1w15,focus,
Wed Aug 26 2015 21:00:53 GMT+0800 (China Standard Time),,s1w16,focus,
Wed Aug 26 2015 21:00:54 GMT+0800 (China Standard Time),,s1w17,focus,
Wed Aug 26 2015 21:00:54 GMT+0800 (China Standard Time),,s1w18,focus,
Wed Aug 26 2015 21:00:54 GMT+0800 (China Standard Time),,s1w19,focus,
Wed Aug 26 2015 21:00:55 GMT+0800 (China Standard Time),,s1w20,focus,
Wed Aug 26 2015 21:00:55 GMT+0800 (China Standard Time),,s1w21,focus,
Wed Aug 26 2015 21:00:55 GMT+0800 (China Standard Time),,s1w22,focus,
Wed Aug 26 2015 21:00:55 GMT+0800 (China Standard Time),,s1w23,focus,
Wed Aug 26 2015 21:00:56 GMT+0800 (China Standard Time),,s1w24,focus,
Wed Aug 26 2015 21:00:56 GMT+0800 (China Standard Time),,s1w25,focus,
Wed Aug 26 2015 21:00:57 GMT+0800 (China Standard Time),,s1w26,focus,
Wed Aug 26 2015 21:00:57 GMT+0800 (China Standard Time),,s1w27,focus,
Wed Aug 26 2015 21:00:57 GMT+0800 (China Standard Time),,s1w28,focus,
Wed Aug 26 2015 21:00:58 GMT+0800 (China Standard Time),,s1w29,focus,
Wed Aug 26 2015 21:00:58 GMT+0800 (China Standard Time),,s1w30,focus,
Wed Aug 26 2015 21:00:58 GMT+0800 (China Standard Time),,s1w31,focus,
Wed Aug 26 2015 21:00:59 GMT+0800 (China Standard Time),,s1w32,focus,
Wed Aug 26 2015 21:00:59 GMT+0800 (China Standard Time),,s1w33,focus,
Wed Aug 26 2015 21:00:59 GMT+0800 (China Standard Time),,s2w1,focus,
Wed Aug 26 2015 21:01:00 GMT+0800 (China Standard Time),,s2w2,focus,
Wed Aug 26 2015 21:01:01 GMT+0800 (China Standard Time),,s2w3,focus,
Wed Aug 26 2015 21:01:01 GMT+0800 (China Standard Time),,s2w4,focus,
Wed Aug 26 2015 21:01:01 GMT+0800 (China Standard Time),,s2w5,focus,
Wed Aug 26 2015 21:01:02 GMT+0800 (China Standard Time),,s2w6,focus,
Wed Aug 26 2015 21:01:02 GMT+0800 (China Standard Time),,s2w7,focus,
Wed Aug 26 2015 21:01:05 GMT+0800 (China Standard Time),,s2w8,focus,
Wed Aug 26 2015 21:01:05 GMT+0800 (China Standard Time),,s2w9,focus,
Wed Aug 26 2015 21:01:05 GMT+0800 (China Standard Time),,s2w10,focus,
Wed Aug 26 2015 21:01:06 GMT+0800 (China Standard Time),,s2w11,focus,
Wed Aug 26 2015 21:01:06 GMT+0800 (China Standard Time),,s2w12,focus,
Wed Aug 26 2015 21:01:06 GMT+0800 (China Standard Time),,s2w13,focus,
Wed Aug 26 2015 21:01:06 GMT+0800 (China Standard Time),,s2w14,focus,
Wed Aug 26 2015 21:01:07 GMT+0800 (China Standard Time),,s2w15,focus,
Wed Aug 26 2015 21:01:07 GMT+0800 (China Standard Time),,s2w16,focus,
Wed Aug 26 2015 21:01:08 GMT+0800 (China Standard Time),,s2w17,focus,
Wed Aug 26 2015 21:01:08 GMT+0800 (China Standard Time),,s2w18,focus,
Wed Aug 26 2015 21:01:09 GMT+0800 (China Standard Time),,s2w19,focus,
Wed Aug 26 2015 21:01:09 GMT+0800 (China Standard Time),,s2w20,focus,
Wed Aug 26 2015 21:01:09 GMT+0800 (China Standard Time),,s2w21,focus,
Wed Aug 26 2015 21:01:10 GMT+0800 (China Standard Time),,s2w22,focus,
Wed Aug 26 2015 21:01:10 GMT+0800 (China Standard Time),,s2w23,focus,
Wed Aug 26 2015 21:01:10 GMT+0800 (China Standard Time),,s2w24,focus,
Wed Aug 26 2015 21:01:11 GMT+0800 (China Standard Time),,s2w25,focus,
Wed Aug 26 2015 21:01:11 GMT+0800 (China Standard Time),,s2w26,focus,
Wed Aug 26 2015 21:01:11 GMT+0800 (China Standard Time),,s2w27,focus,
Wed Aug 26 2015 21:01:11 GMT+0800 (China Standard Time),,s2w28,focus,
Wed Aug 26 2015 21:01:12 GMT+0800 (China Standard Time),,s2w29,focus,
Wed Aug 26 2015 21:01:12 GMT+0800 (China Standard Time),,s2w30,focus,
Wed Aug 26 2015 21:01:12 GMT+0800 (China Standard Time),,s2w31,focus,
Wed Aug 26 2015 21:01:12 GMT+0800 (China Standard Time),,s2w32,focus,
Wed Aug 26 2015 21:01:13 GMT+0800 (China Standard Time),,s2w33,focus,
Wed Aug 26 2015 21:01:13 GMT+0800 (China Standard Time),,s2w34,focus,
Wed Aug 26 2015 21:01:13 GMT+0800 (China Standard Time),,s2w35,focus,
Wed Aug 26 2015 21:01:14 GMT+0800 (China Standard Time),,s2w36,focus,
Wed Aug 26 2015 21:01:15 GMT+0800 (China Standard Time),,s2w37,focus,
Wed Aug 26 2015 21:01:15 GMT+0800 (China Standard Time),,s2w38,focus,
Wed Aug 26 2015 21:01:15 GMT+0800 (China Standard Time),,s2w39,focus,
Wed Aug 26 2015 21:01:16 GMT+0800 (China Standard Time),,s2w40,focus,
Wed Aug 26 2015 21:01:17 GMT+0800 (China Standard Time),,s2w41,focus,
Wed Aug 26 2015 21:01:17 GMT+0800 (China Standard Time),,s2w42,focus,
Wed Aug 26 2015 21:01:19 GMT+0800 (China Standard Time),,s3w1,focus,
Wed Aug 26 2015 21:01:20 GMT+0800 (China Standard Time),,s3w2,focus,
Wed Aug 26 2015 21:01:31 GMT+0800 (China Standard Time),,s3w2,label,","
Wed Aug 26 2015 21:01:31 GMT+0800 (China Standard Time),,s3w3,focus,
Wed Aug 26 2015 21:01:32 GMT+0800 (China Standard Time),,s3w4,focus,
Wed Aug 26 2015 21:01:32 GMT+0800 (China Standard Time),,s3w5,focus,
Wed Aug 26 2015 21:01:32 GMT+0800 (China Standard Time),,s3w6,focus,
Wed Aug 26 2015 21:01:33 GMT+0800 (China Standard Time),,s3w7,focus,
Wed Aug 26 2015 21:01:33 GMT+0800 (China Standard Time),,s3w8,focus,
Wed Aug 26 2015 21:01:33 GMT+0800 (China Standard Time),,s3w9,focus,
Wed Aug 26 2015 21:01:34 GMT+0800 (China Standard Time),,s3w10,focus,
Wed Aug 26 2015 21:01:34 GMT+0800 (China Standard Time),,s3w11,focus,
Wed Aug 26 2015 21:01:34 GMT+0800 (China Standard Time),,s3w12,focus,
Wed Aug 26 2015 21:01:35 GMT+0800 (China Standard Time),,s3w13,focus,
Wed Aug 26 2015 21:01:35 GMT+0800 (China Standard Time),,s3w14,focus,
Wed Aug 26 2015 21:01:36 GMT+0800 (China Standard Time),,s3w15,focus,
Wed Aug 26 2015 21:01:36 GMT+0800 (China Standard Time),,s3w16,focus,
Wed Aug 26 2015 21:01:36 GMT+0800 (China Standard Time),,s3w17,focus,
Wed Aug 26 2015 21:01:37 GMT+0800 (China Standard Time),,s3w18,focus,
Wed Aug 26 2015 21:01:37 GMT+0800 (China Standard Time),,s3w19,focus,
Wed Aug 26 2015 21:01:37 GMT+0800 (China Standard Time),,s3w20,focus,
Wed Aug 26 2015 21:01:38 GMT+0800 (China Standard Time),,s3w21,focus,
Wed Aug 26 2015 21:01:38 GMT+0800 (China Standard Time),,s3w22,focus,
Wed Aug 26 2015 21:01:38 GMT+0800 (China Standard Time),,s3w23,focus,
Wed Aug 26 2015 21:01:38 GMT+0800 (China Standard Time),,s3w24,focus,
Wed Aug 26 2015 21:01:39 GMT+0800 (China Standard Time),,s3w25,focus,
Wed Aug 26 2015 21:01:39 GMT+0800 (China Standard Time),,s3w26,focus,
Wed Aug 26 2015 21:01:39 GMT+0800 (China Standard Time),,s3w27,focus,
Wed Aug 26 2015 21:01:40 GMT+0800 (China Standard Time),,s3w28,focus,
Wed Aug 26 2015 21:01:40 GMT+0800 (China Standard Time),,s3w29,focus,
Wed Aug 26 2015 21:01:40 GMT+0800 (China Standard Time),,s3w30,focus,
Wed Aug 26 2015 21:01:40 GMT+0800 (China Standard Time),,s3w31,focus,
Wed Aug 26 2015 21:01:41 GMT+0800 (China Standard Time),,s3w32,focus,
Wed Aug 26 2015 21:01:41 GMT+0800 (China Standard Time),,s4w1,focus,
Wed Aug 26 2015 21:01:42 GMT+0800 (China Standard Time),,s4w2,focus,
Wed Aug 26 2015 21:01:43 GMT+0800 (China Standard Time),,s4w3,focus,
Wed Aug 26 2015 21:01:44 GMT+0800 (China Standard Time),,s4w4,focus,
Wed Aug 26 2015 21:01:45 GMT+0800 (China Standard Time),,s4w5,focus,
Wed Aug 26 2015 21:01:45 GMT+0800 (China Standard Time),,s4w6,focus,
Wed Aug 26 2015 21:01:46 GMT+0800 (China Standard Time),,s4w7,focus,
Wed Aug 26 2015 21:01:46 GMT+0800 (China Standard Time),,s4w8,focus,
Wed Aug 26 2015 21:01:47 GMT+0800 (China Standard Time),,s4w9,focus,
Wed Aug 26 2015 21:01:53 GMT+0800 (China Standard Time),,s4w10,focus,
Wed Aug 26 2015 21:01:53 GMT+0800 (China Standard Time),,s4w11,focus,
Wed Aug 26 2015 21:01:54 GMT+0800 (China Standard Time),,s4w12,focus,
Wed Aug 26 2015 21:01:54 GMT+0800 (China Standard Time),,s4w13,focus,
Wed Aug 26 2015 21:01:55 GMT+0800 (China Standard Time),,s4w14,focus,
Wed Aug 26 2015 21:01:55 GMT+0800 (China Standard Time),,s4w15,focus,
Wed Aug 26 2015 21:01:56 GMT+0800 (China Standard Time),,s4w16,focus,
Wed Aug 26 2015 21:02:08 GMT+0800 (China Standard Time),,s4w17,focus,
Wed Aug 26 2015 21:02:10 GMT+0800 (China Standard Time),,s4w18,focus,
Wed Aug 26 2015 21:02:20 GMT+0800 (China Standard Time),,s4w18,label,"$"
Wed Aug 26 2015 21:02:21 GMT+0800 (China Standard Time),,s4w19,focus,
Wed Aug 26 2015 21:02:22 GMT+0800 (China Standard Time),,s4w20,focus,
Wed Aug 26 2015 21:02:25 GMT+0800 (China Standard Time),,s4w20,label,"$"
Wed Aug 26 2015 21:02:26 GMT+0800 (China Standard Time),,s4w21,focus,
Wed Aug 26 2015 21:02:27 GMT+0800 (China Standard Time),,s4w22,focus,
Wed Aug 26 2015 21:02:28 GMT+0800 (China Standard Time),,s4w23,focus,
Wed Aug 26 2015 21:02:29 GMT+0800 (China Standard Time),,s4w24,focus,
Wed Aug 26 2015 21:02:31 GMT+0800 (China Standard Time),,s4w25,focus,
Wed Aug 26 2015 21:02:31 GMT+0800 (China Standard Time),,s4w26,focus,
Wed Aug 26 2015 21:02:32 GMT+0800 (China Standard Time),,s4w27,focus,
Wed Aug 26 2015 21:02:32 GMT+0800 (China Standard Time),,s4w28,focus,
Wed Aug 26 2015 21:02:33 GMT+0800 (China Standard Time),,s5w1,focus,
Wed Aug 26 2015 21:02:33 GMT+0800 (China Standard Time),,s5w2,focus,
Wed Aug 26 2015 21:02:33 GMT+0800 (China Standard Time),,s5w3,focus,
Wed Aug 26 2015 21:02:34 GMT+0800 (China Standard Time),,s5w4,focus,
Wed Aug 26 2015 21:02:34 GMT+0800 (China Standard Time),,s5w5,focus,
Wed Aug 26 2015 21:02:34 GMT+0800 (China Standard Time),,s5w6,focus,
Wed Aug 26 2015 21:02:34 GMT+0800 (China Standard Time),,s5w7,focus,
Wed Aug 26 2015 21:02:38 GMT+0800 (China Standard Time),,s5w7,label,"$"
Wed Aug 26 2015 21:02:39 GMT+0800 (China Standard Time),,s5w8,focus,
Wed Aug 26 2015 21:02:40 GMT+0800 (China Standard Time),,s5w9,focus,
Wed Aug 26 2015 21:02:40 GMT+0800 (China Standard Time),,s5w10,focus,
Wed Aug 26 2015 21:02:41 GMT+0800 (China Standard Time),,s5w11,focus,
Wed Aug 26 2015 21:02:41 GMT+0800 (China Standard Time),,s5w12,focus,
Wed Aug 26 2015 21:02:42 GMT+0800 (China Standard Time),,s5w13,focus,
Wed Aug 26 2015 21:02:42 GMT+0800 (China Standard Time),,s5w14,focus,
Wed Aug 26 2015 21:02:43 GMT+0800 (China Standard Time),,s5w15,focus,
Wed Aug 26 2015 21:02:44 GMT+0800 (China Standard Time),,s5w16,focus,
Wed Aug 26 2015 21:02:44 GMT+0800 (China Standard Time),,s5w17,focus,
Wed Aug 26 2015 21:02:44 GMT+0800 (China Standard Time),,s5w18,focus,
