Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s0,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s1,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s2,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s3,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s4,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s5,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s6,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s7,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s8,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s9,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s10,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s11,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s12,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s13,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s14,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s15,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s16,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s17,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s18,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s19,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s20,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s21,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s22,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s23,twitterId,440160
Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,s24,twitterId,440160
Wed Aug 26 2015 21:09:52 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:09:52 GMT+0800 (China Standard Time),,s0w2,focus,
Wed Aug 26 2015 21:09:52 GMT+0800 (China Standard Time),,s0w3,focus,
Wed Aug 26 2015 21:09:53 GMT+0800 (China Standard Time),,s0w4,focus,
Wed Aug 26 2015 21:09:53 GMT+0800 (China Standard Time),,s0w5,focus,
Wed Aug 26 2015 21:09:53 GMT+0800 (China Standard Time),,s0w6,focus,
Wed Aug 26 2015 21:09:54 GMT+0800 (China Standard Time),,s1w1,focus,
Wed Aug 26 2015 21:09:54 GMT+0800 (China Standard Time),,s1w2,focus,
Wed Aug 26 2015 21:09:55 GMT+0800 (China Standard Time),,s1w3,focus,
Wed Aug 26 2015 21:09:55 GMT+0800 (China Standard Time),,s1w4,focus,
Wed Aug 26 2015 21:09:56 GMT+0800 (China Standard Time),,s1w5,focus,
Wed Aug 26 2015 21:09:56 GMT+0800 (China Standard Time),,s1w6,focus,
Wed Aug 26 2015 21:09:56 GMT+0800 (China Standard Time),,s1w7,focus,
Wed Aug 26 2015 21:09:56 GMT+0800 (China Standard Time),,s1w8,focus,
Wed Aug 26 2015 21:09:57 GMT+0800 (China Standard Time),,s1w9,focus,
Wed Aug 26 2015 21:09:57 GMT+0800 (China Standard Time),,s1w10,focus,
Wed Aug 26 2015 21:09:57 GMT+0800 (China Standard Time),,s1w11,focus,
Wed Aug 26 2015 21:09:57 GMT+0800 (China Standard Time),,s1w12,focus,
Wed Aug 26 2015 21:09:58 GMT+0800 (China Standard Time),,s1w13,focus,
Wed Aug 26 2015 21:09:58 GMT+0800 (China Standard Time),,s1w14,focus,
Wed Aug 26 2015 21:09:59 GMT+0800 (China Standard Time),,s1w15,focus,
Wed Aug 26 2015 21:09:59 GMT+0800 (China Standard Time),,s1w16,focus,
Wed Aug 26 2015 21:10:00 GMT+0800 (China Standard Time),,s1w17,focus,
Wed Aug 26 2015 21:10:01 GMT+0800 (China Standard Time),,s1w18,focus,
Wed Aug 26 2015 21:10:02 GMT+0800 (China Standard Time),,s1w19,focus,
Wed Aug 26 2015 21:10:04 GMT+0800 (China Standard Time),,s1w20,focus,
Wed Aug 26 2015 21:10:04 GMT+0800 (China Standard Time),,s2w1,focus,
Wed Aug 26 2015 21:10:05 GMT+0800 (China Standard Time),,s2w2,focus,
Wed Aug 26 2015 21:10:05 GMT+0800 (China Standard Time),,s2w3,focus,
Wed Aug 26 2015 21:10:05 GMT+0800 (China Standard Time),,s2w4,focus,
Wed Aug 26 2015 21:10:06 GMT+0800 (China Standard Time),,s2w5,focus,
Wed Aug 26 2015 21:10:07 GMT+0800 (China Standard Time),,s2w6,focus,
Wed Aug 26 2015 21:10:07 GMT+0800 (China Standard Time),,s2w7,focus,
Wed Aug 26 2015 21:10:11 GMT+0800 (China Standard Time),,s2w8,focus,
Wed Aug 26 2015 21:10:13 GMT+0800 (China Standard Time),,s2w9,focus,
Wed Aug 26 2015 21:10:13 GMT+0800 (China Standard Time),,s2w10,focus,
Wed Aug 26 2015 21:10:18 GMT+0800 (China Standard Time),,s2w10,label,"N"
Wed Aug 26 2015 21:10:18 GMT+0800 (China Standard Time),,s2w11,focus,
Wed Aug 26 2015 21:10:18 GMT+0800 (China Standard Time),,s2w12,focus,
Wed Aug 26 2015 21:10:19 GMT+0800 (China Standard Time),,s2w13,focus,
Wed Aug 26 2015 21:10:19 GMT+0800 (China Standard Time),,s2w14,focus,
Wed Aug 26 2015 21:10:20 GMT+0800 (China Standard Time),,s2w15,focus,
Wed Aug 26 2015 21:10:20 GMT+0800 (China Standard Time),,s2w16,focus,
Wed Aug 26 2015 21:10:20 GMT+0800 (China Standard Time),,s2w17,focus,
Wed Aug 26 2015 21:10:20 GMT+0800 (China Standard Time),,s2w18,focus,
Wed Aug 26 2015 21:10:21 GMT+0800 (China Standard Time),,s2w19,focus,
Wed Aug 26 2015 21:10:21 GMT+0800 (China Standard Time),,s2w20,focus,
Wed Aug 26 2015 21:10:21 GMT+0800 (China Standard Time),,s2w21,focus,
Wed Aug 26 2015 21:10:22 GMT+0800 (China Standard Time),,s2w22,focus,
Wed Aug 26 2015 21:10:22 GMT+0800 (China Standard Time),,s2w23,focus,
Wed Aug 26 2015 21:10:22 GMT+0800 (China Standard Time),,s2w24,focus,
Wed Aug 26 2015 21:10:22 GMT+0800 (China Standard Time),,s2w25,focus,
Wed Aug 26 2015 21:10:23 GMT+0800 (China Standard Time),,s2w26,focus,
Wed Aug 26 2015 21:10:23 GMT+0800 (China Standard Time),,s2w27,focus,
Wed Aug 26 2015 21:10:23 GMT+0800 (China Standard Time),,s2w28,focus,
Wed Aug 26 2015 21:10:23 GMT+0800 (China Standard Time),,s2w29,focus,
Wed Aug 26 2015 21:10:24 GMT+0800 (China Standard Time),,s2w30,focus,
