Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,375252
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,375252
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,375252
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,375252
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,375252
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,375252
Fri Aug 21 2015 15:43:14 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,375252
Fri Aug 21 2015 15:43:43 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 15:43:47 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 15:43:47 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 15:43:48 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 15:43:48 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 15:43:52 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"^"
Fri Aug 21 2015 15:43:54 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Aug 21 2015 15:43:56 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Aug 21 2015 15:43:57 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Aug 21 2015 15:43:57 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Aug 21 2015 15:44:00 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Aug 21 2015 15:44:00 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Aug 21 2015 15:44:01 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Aug 21 2015 15:44:01 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 15:44:01 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 15:44:02 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Aug 21 2015 15:44:02 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Aug 21 2015 15:44:03 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Aug 21 2015 15:44:04 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"^"
Fri Aug 21 2015 15:44:05 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Aug 21 2015 15:44:06 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Aug 21 2015 15:44:07 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
