Fri Aug 21 2015 16:12:23 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 16:12:23 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,414893
Fri Aug 21 2015 16:12:23 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,414893
Fri Aug 21 2015 16:12:23 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,414893
Fri Aug 21 2015 16:12:23 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,414893
Fri Aug 21 2015 16:12:23 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,414893
Fri Aug 21 2015 16:12:27 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 16:12:30 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 16:12:31 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 16:12:32 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"N"
Fri Aug 21 2015 16:12:34 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 16:12:35 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 16:12:35 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"D"
Fri Aug 21 2015 16:12:42 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 16:12:42 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 16:12:44 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"N"
Fri Aug 21 2015 16:12:45 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 16:12:47 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 16:12:47 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Aug 21 2015 16:12:48 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Aug 21 2015 16:12:49 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Aug 21 2015 16:12:49 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Aug 21 2015 16:12:50 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
