Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s0,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s1,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s2,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s3,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s4,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s5,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s6,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s7,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s8,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s9,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s10,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s11,twitterId,440302
Wed Aug 26 2015 21:17:07 GMT+0800 (China Standard Time),,s12,twitterId,440302
Wed Aug 26 2015 21:17:16 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:17:16 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:17:19 GMT+0800 (China Standard Time),,s0w2,focus,
Wed Aug 26 2015 21:17:19 GMT+0800 (China Standard Time),,s0w3,focus,
Wed Aug 26 2015 21:17:22 GMT+0800 (China Standard Time),,s0w3,label,"V"
Wed Aug 26 2015 21:17:23 GMT+0800 (China Standard Time),,s0w4,focus,
Wed Aug 26 2015 21:17:24 GMT+0800 (China Standard Time),,s0w5,focus,
Wed Aug 26 2015 21:17:26 GMT+0800 (China Standard Time),,s0w6,focus,
Wed Aug 26 2015 21:17:27 GMT+0800 (China Standard Time),,s0w7,focus,
Wed Aug 26 2015 21:17:27 GMT+0800 (China Standard Time),,s0w8,focus,
Wed Aug 26 2015 21:17:28 GMT+0800 (China Standard Time),,s0w9,focus,
Wed Aug 26 2015 21:17:28 GMT+0800 (China Standard Time),,s1w1,focus,
Wed Aug 26 2015 21:17:28 GMT+0800 (China Standard Time),,s1w2,focus,
Wed Aug 26 2015 21:17:28 GMT+0800 (China Standard Time),,s1w3,focus,
Wed Aug 26 2015 21:17:30 GMT+0800 (China Standard Time),,s1w4,focus,
Wed Aug 26 2015 21:17:30 GMT+0800 (China Standard Time),,s1w5,focus,
Wed Aug 26 2015 21:17:31 GMT+0800 (China Standard Time),,s1w6,focus,
Wed Aug 26 2015 21:17:32 GMT+0800 (China Standard Time),,s1w7,focus,
Wed Aug 26 2015 21:17:32 GMT+0800 (China Standard Time),,s1w8,focus,
Wed Aug 26 2015 21:17:32 GMT+0800 (China Standard Time),,s1w9,focus,
Wed Aug 26 2015 21:17:32 GMT+0800 (China Standard Time),,s1w10,focus,
Wed Aug 26 2015 21:17:32 GMT+0800 (China Standard Time),,s1w11,focus,
Wed Aug 26 2015 21:17:33 GMT+0800 (China Standard Time),,s1w12,focus,
Wed Aug 26 2015 21:17:33 GMT+0800 (China Standard Time),,s1w13,focus,
Wed Aug 26 2015 21:17:33 GMT+0800 (China Standard Time),,s1w14,focus,
Wed Aug 26 2015 21:17:33 GMT+0800 (China Standard Time),,s1w15,focus,
Wed Aug 26 2015 21:17:34 GMT+0800 (China Standard Time),,s1w16,focus,
Wed Aug 26 2015 21:17:34 GMT+0800 (China Standard Time),,s1w17,focus,
Wed Aug 26 2015 21:17:34 GMT+0800 (China Standard Time),,s1w18,focus,
Wed Aug 26 2015 21:17:35 GMT+0800 (China Standard Time),,s1w19,focus,
Wed Aug 26 2015 21:17:36 GMT+0800 (China Standard Time),,s1w19,label,"^"
Wed Aug 26 2015 21:17:36 GMT+0800 (China Standard Time),,s1w20,focus,
Wed Aug 26 2015 21:17:37 GMT+0800 (China Standard Time),,s1w21,focus,
Wed Aug 26 2015 21:17:38 GMT+0800 (China Standard Time),,s1w22,focus,
Wed Aug 26 2015 21:17:38 GMT+0800 (China Standard Time),,s1w23,focus,
Wed Aug 26 2015 21:17:38 GMT+0800 (China Standard Time),,s1w24,focus,
Wed Aug 26 2015 21:17:38 GMT+0800 (China Standard Time),,s1w25,focus,
Wed Aug 26 2015 21:17:39 GMT+0800 (China Standard Time),,s1w26,focus,
Wed Aug 26 2015 21:17:39 GMT+0800 (China Standard Time),,s1w27,focus,
Wed Aug 26 2015 21:17:40 GMT+0800 (China Standard Time),,s1w27,label,"^"
Wed Aug 26 2015 21:17:40 GMT+0800 (China Standard Time),,s1w28,focus,
Wed Aug 26 2015 21:17:41 GMT+0800 (China Standard Time),,s1w29,focus,
Wed Aug 26 2015 21:17:41 GMT+0800 (China Standard Time),,s1w29,label,"^"
Wed Aug 26 2015 21:17:42 GMT+0800 (China Standard Time),,s1w30,focus,
Wed Aug 26 2015 21:17:43 GMT+0800 (China Standard Time),,s1w31,focus,
Wed Aug 26 2015 21:17:45 GMT+0800 (China Standard Time),,s1w32,focus,
Wed Aug 26 2015 21:17:45 GMT+0800 (China Standard Time),,s1w33,focus,
Wed Aug 26 2015 21:17:45 GMT+0800 (China Standard Time),,s1w34,focus,
Wed Aug 26 2015 21:17:45 GMT+0800 (China Standard Time),,s1w35,focus,
Wed Aug 26 2015 21:17:46 GMT+0800 (China Standard Time),,s1w36,focus,
Wed Aug 26 2015 21:17:46 GMT+0800 (China Standard Time),,s1w37,focus,
Wed Aug 26 2015 21:17:46 GMT+0800 (China Standard Time),,s1w38,focus,
Wed Aug 26 2015 21:17:46 GMT+0800 (China Standard Time),,s1w39,focus,
Wed Aug 26 2015 21:17:46 GMT+0800 (China Standard Time),,s1w40,focus,
Wed Aug 26 2015 21:17:47 GMT+0800 (China Standard Time),,s1w41,focus,
Wed Aug 26 2015 21:17:47 GMT+0800 (China Standard Time),,s1w42,focus,
Wed Aug 26 2015 21:17:47 GMT+0800 (China Standard Time),,s1w43,focus,
Wed Aug 26 2015 21:17:47 GMT+0800 (China Standard Time),,s1w44,focus,
Wed Aug 26 2015 21:17:48 GMT+0800 (China Standard Time),,s1w45,focus,
Wed Aug 26 2015 21:17:48 GMT+0800 (China Standard Time),,s1w46,focus,
Wed Aug 26 2015 21:17:48 GMT+0800 (China Standard Time),,s1w47,focus,
Wed Aug 26 2015 21:17:48 GMT+0800 (China Standard Time),,s1w48,focus,
Wed Aug 26 2015 21:17:48 GMT+0800 (China Standard Time),,s1w49,focus,
Wed Aug 26 2015 21:17:49 GMT+0800 (China Standard Time),,s1w50,focus,
Wed Aug 26 2015 21:17:49 GMT+0800 (China Standard Time),,s1w51,focus,
Wed Aug 26 2015 21:17:49 GMT+0800 (China Standard Time),,s1w52,focus,
Wed Aug 26 2015 21:17:49 GMT+0800 (China Standard Time),,s1w53,focus,
Wed Aug 26 2015 21:17:50 GMT+0800 (China Standard Time),,s1w54,focus,
Wed Aug 26 2015 21:17:50 GMT+0800 (China Standard Time),,s1w55,focus,
Wed Aug 26 2015 21:17:50 GMT+0800 (China Standard Time),,s1w56,focus,
Wed Aug 26 2015 21:17:51 GMT+0800 (China Standard Time),,s1w57,focus,
Wed Aug 26 2015 21:17:51 GMT+0800 (China Standard Time),,s1w58,focus,
Wed Aug 26 2015 21:17:51 GMT+0800 (China Standard Time),,s1w59,focus,
Wed Aug 26 2015 21:17:52 GMT+0800 (China Standard Time),,s1w60,focus,
Wed Aug 26 2015 21:17:52 GMT+0800 (China Standard Time),,s1w61,focus,
Wed Aug 26 2015 21:17:52 GMT+0800 (China Standard Time),,s1w62,focus,
Wed Aug 26 2015 21:17:52 GMT+0800 (China Standard Time),,s1w63,focus,
Wed Aug 26 2015 21:17:53 GMT+0800 (China Standard Time),,s1w64,focus,
Wed Aug 26 2015 21:17:53 GMT+0800 (China Standard Time),,s1w65,focus,
Wed Aug 26 2015 21:17:54 GMT+0800 (China Standard Time),,s1w66,focus,
Wed Aug 26 2015 21:17:54 GMT+0800 (China Standard Time),,s1w67,focus,
Wed Aug 26 2015 21:17:54 GMT+0800 (China Standard Time),,s1w68,focus,
Wed Aug 26 2015 21:17:55 GMT+0800 (China Standard Time),,s1w69,focus,
Wed Aug 26 2015 21:17:55 GMT+0800 (China Standard Time),,s1w70,focus,
Wed Aug 26 2015 21:17:55 GMT+0800 (China Standard Time),,s1w71,focus,
Wed Aug 26 2015 21:17:56 GMT+0800 (China Standard Time),,s1w72,focus,
Wed Aug 26 2015 21:17:56 GMT+0800 (China Standard Time),,s1w73,focus,
Wed Aug 26 2015 21:17:56 GMT+0800 (China Standard Time),,s1w74,focus,
Wed Aug 26 2015 21:17:57 GMT+0800 (China Standard Time),,s1w75,focus,
Wed Aug 26 2015 21:17:57 GMT+0800 (China Standard Time),,s1w76,focus,
Wed Aug 26 2015 21:17:57 GMT+0800 (China Standard Time),,s1w77,focus,
Wed Aug 26 2015 21:17:58 GMT+0800 (China Standard Time),,s1w77,label,"^"
Wed Aug 26 2015 21:17:59 GMT+0800 (China Standard Time),,s1w78,focus,
Wed Aug 26 2015 21:17:59 GMT+0800 (China Standard Time),,s1w79,focus,
Wed Aug 26 2015 21:17:59 GMT+0800 (China Standard Time),,s1w80,focus,
Wed Aug 26 2015 21:18:00 GMT+0800 (China Standard Time),,s1w81,focus,
