Wed Sep 02 2015 21:01:51 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 21:01:51 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1158557
Wed Sep 02 2015 21:01:51 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1158557
Wed Sep 02 2015 21:01:51 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1158557
Wed Sep 02 2015 21:02:06 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Wed Sep 02 2015 21:02:07 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Wed Sep 02 2015 21:02:09 GMT+0800 (Malay Peninsula Standard Time),,s0w8,label,"^"
Wed Sep 02 2015 21:02:50 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Wed Sep 02 2015 21:02:50 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Wed Sep 02 2015 21:02:55 GMT+0800 (Malay Peninsula Standard Time),,s0w14,label,"^"
Wed Sep 02 2015 21:03:08 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 21:03:08 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 21:03:10 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 21:03:10 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 21:03:11 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"A"
Wed Sep 02 2015 21:04:02 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 21:04:02 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 21:04:02 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 21:04:03 GMT+0800 (Malay Peninsula Standard Time),,s1w9,label,"O"
Wed Sep 02 2015 21:04:48 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Wed Sep 02 2015 21:04:48 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Wed Sep 02 2015 21:04:50 GMT+0800 (Malay Peninsula Standard Time),,s1w16,label,"O"
Wed Sep 02 2015 21:05:08 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Wed Sep 02 2015 21:05:08 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Wed Sep 02 2015 21:05:38 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Wed Sep 02 2015 21:05:38 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Wed Sep 02 2015 21:05:42 GMT+0800 (Malay Peninsula Standard Time),,s1w31,label,"A"
Wed Sep 02 2015 21:05:48 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Wed Sep 02 2015 21:05:48 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Wed Sep 02 2015 21:05:49 GMT+0800 (Malay Peninsula Standard Time),,s1w36,label,"^"
Wed Sep 02 2015 21:05:58 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 21:05:58 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 21:06:10 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 21:06:10 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 21:06:14 GMT+0800 (Malay Peninsula Standard Time),,s1w40,label,"^"
Wed Sep 02 2015 21:06:17 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 21:06:17 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 21:06:20 GMT+0800 (Malay Peninsula Standard Time),,s1w43,label,"^"
Wed Sep 02 2015 21:06:27 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Wed Sep 02 2015 21:06:27 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Wed Sep 02 2015 21:06:30 GMT+0800 (Malay Peninsula Standard Time),,s1w48,label,"D"
Wed Sep 02 2015 21:07:34 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Wed Sep 02 2015 21:07:34 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Wed Sep 02 2015 21:07:34 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Wed Sep 02 2015 21:07:51 GMT+0800 (Malay Peninsula Standard Time),,s1w61,label,"^"
Wed Sep 02 2015 21:08:11 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Wed Sep 02 2015 21:08:11 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Wed Sep 02 2015 21:08:14 GMT+0800 (Malay Peninsula Standard Time),,s1w65,label,"D"
Wed Sep 02 2015 21:08:26 GMT+0800 (Malay Peninsula Standard Time),,s1w81,focus,
Wed Sep 02 2015 21:08:26 GMT+0800 (Malay Peninsula Standard Time),,s1w81,focus,
Wed Sep 02 2015 21:08:26 GMT+0800 (Malay Peninsula Standard Time),,s1w70,focus,
Wed Sep 02 2015 21:08:27 GMT+0800 (Malay Peninsula Standard Time),,s1w70,focus,
Wed Sep 02 2015 21:08:28 GMT+0800 (Malay Peninsula Standard Time),,s1w70,label,"^"
Wed Sep 02 2015 21:08:29 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Wed Sep 02 2015 21:08:30 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Wed Sep 02 2015 21:08:31 GMT+0800 (Malay Peninsula Standard Time),,s1w71,label,"^"
Wed Sep 02 2015 21:10:32 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Wed Sep 02 2015 21:10:32 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Wed Sep 02 2015 21:10:34 GMT+0800 (Malay Peninsula Standard Time),,s1w82,label,"^"
Wed Sep 02 2015 21:10:46 GMT+0800 (Malay Peninsula Standard Time),,s1w90,focus,
Wed Sep 02 2015 21:10:46 GMT+0800 (Malay Peninsula Standard Time),,s1w90,focus,
Wed Sep 02 2015 21:10:47 GMT+0800 (Malay Peninsula Standard Time),,s1w90,label,"D"
Wed Sep 02 2015 21:10:59 GMT+0800 (Malay Peninsula Standard Time),,s1w100,focus,
Wed Sep 02 2015 21:10:59 GMT+0800 (Malay Peninsula Standard Time),,s1w100,focus,
Wed Sep 02 2015 21:11:01 GMT+0800 (Malay Peninsula Standard Time),,s1w100,label,"^"
Wed Sep 02 2015 21:11:10 GMT+0800 (Malay Peninsula Standard Time),,s1w104,focus,
Wed Sep 02 2015 21:11:10 GMT+0800 (Malay Peninsula Standard Time),,s1w104,focus,
Wed Sep 02 2015 21:11:12 GMT+0800 (Malay Peninsula Standard Time),,s1w104,label,"A"
Wed Sep 02 2015 21:11:19 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 21:11:19 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 21:11:44 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 21:11:44 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 21:11:46 GMT+0800 (Malay Peninsula Standard Time),,s1w107,label,"N"
Wed Sep 02 2015 21:12:30 GMT+0800 (Malay Peninsula Standard Time),,s1w133,focus,
Wed Sep 02 2015 21:12:30 GMT+0800 (Malay Peninsula Standard Time),,s1w133,focus,
Wed Sep 02 2015 21:12:31 GMT+0800 (Malay Peninsula Standard Time),,s1w133,label,"D"
Wed Sep 02 2015 21:12:52 GMT+0800 (Malay Peninsula Standard Time),,s1w139,focus,
