Thu Sep 03 2015 19:55:59 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 19:55:59 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1237072
Thu Sep 03 2015 19:55:59 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1237072
Thu Sep 03 2015 19:55:59 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1237072
Thu Sep 03 2015 19:56:31 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 19:56:31 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 19:56:34 GMT+0800 (Malay Peninsula Standard Time),,s1w6,label,"^"
Thu Sep 03 2015 19:56:38 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Thu Sep 03 2015 19:56:38 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Thu Sep 03 2015 19:56:39 GMT+0800 (Malay Peninsula Standard Time),,s1w12,label,"^"
Thu Sep 03 2015 19:56:42 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Thu Sep 03 2015 19:56:42 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Thu Sep 03 2015 19:56:42 GMT+0800 (Malay Peninsula Standard Time),,s1w17,label,"^"
Thu Sep 03 2015 19:56:52 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Thu Sep 03 2015 19:56:52 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Thu Sep 03 2015 19:56:54 GMT+0800 (Malay Peninsula Standard Time),,s1w21,label,"^"
Thu Sep 03 2015 19:57:11 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Thu Sep 03 2015 19:57:11 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Thu Sep 03 2015 19:57:13 GMT+0800 (Malay Peninsula Standard Time),,s1w39,label,"^"
Thu Sep 03 2015 19:57:18 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Thu Sep 03 2015 19:57:18 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Thu Sep 03 2015 19:57:19 GMT+0800 (Malay Peninsula Standard Time),,s1w45,label,"^"
Thu Sep 03 2015 19:57:24 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Thu Sep 03 2015 19:57:24 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Thu Sep 03 2015 19:57:27 GMT+0800 (Malay Peninsula Standard Time),,s1w52,label,"V"
Thu Sep 03 2015 19:58:29 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:58:29 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:58:30 GMT+0800 (Malay Peninsula Standard Time),,s2w12,label,"X"
Thu Sep 03 2015 19:58:36 GMT+0800 (Malay Peninsula Standard Time),,s2w22,focus,
Thu Sep 03 2015 19:58:36 GMT+0800 (Malay Peninsula Standard Time),,s2w22,focus,
Thu Sep 03 2015 19:58:37 GMT+0800 (Malay Peninsula Standard Time),,s2w22,label,"A"
Thu Sep 03 2015 19:58:42 GMT+0800 (Malay Peninsula Standard Time),,s2w28,focus,
Thu Sep 03 2015 19:58:42 GMT+0800 (Malay Peninsula Standard Time),,s2w28,focus,
Thu Sep 03 2015 19:58:43 GMT+0800 (Malay Peninsula Standard Time),,s2w28,label,"^"
Thu Sep 03 2015 19:58:48 GMT+0800 (Malay Peninsula Standard Time),,s2w32,focus,
Thu Sep 03 2015 19:58:48 GMT+0800 (Malay Peninsula Standard Time),,s2w32,focus,
Thu Sep 03 2015 19:58:48 GMT+0800 (Malay Peninsula Standard Time),,s2w32,label,"V"
Thu Sep 03 2015 19:58:54 GMT+0800 (Malay Peninsula Standard Time),,s2w37,focus,
Thu Sep 03 2015 19:58:54 GMT+0800 (Malay Peninsula Standard Time),,s2w37,focus,
Thu Sep 03 2015 19:58:55 GMT+0800 (Malay Peninsula Standard Time),,s2w37,label,"N"
Thu Sep 03 2015 19:59:05 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
