Wed Sep 02 2015 21:30:04 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 21:30:04 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1160448
Wed Sep 02 2015 21:30:04 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1160448
Wed Sep 02 2015 21:30:04 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1160448
Wed Sep 02 2015 21:30:04 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1160448
Wed Sep 02 2015 21:31:16 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Wed Sep 02 2015 21:31:17 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Wed Sep 02 2015 21:31:19 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"^"
Wed Sep 02 2015 21:31:26 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 21:31:26 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 21:31:29 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"$"
Wed Sep 02 2015 21:31:41 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 21:31:41 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Wed Sep 02 2015 21:31:41 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Wed Sep 02 2015 21:32:03 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 21:32:03 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 21:32:05 GMT+0800 (Malay Peninsula Standard Time),,s1w9,label,"^"
Wed Sep 02 2015 21:32:08 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 21:32:08 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 21:32:10 GMT+0800 (Malay Peninsula Standard Time),,s1w13,label,"$"
Wed Sep 02 2015 21:32:26 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 21:32:26 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 21:32:28 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"A"
Wed Sep 02 2015 21:32:30 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 21:32:30 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 21:32:30 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"A"
Wed Sep 02 2015 21:32:31 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 21:32:31 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 21:32:31 GMT+0800 (Malay Peninsula Standard Time),,s1w13,label,"A"
Wed Sep 02 2015 21:32:33 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Wed Sep 02 2015 21:32:33 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Wed Sep 02 2015 21:32:34 GMT+0800 (Malay Peninsula Standard Time),,s1w8,label,"A"
Wed Sep 02 2015 21:33:08 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 21:33:08 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 21:33:09 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 21:33:09 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 21:33:16 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 21:33:17 GMT+0800 (Malay Peninsula Standard Time),,s1w18,label,"N"
Wed Sep 02 2015 21:33:18 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 21:33:18 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 21:33:18 GMT+0800 (Malay Peninsula Standard Time),,s1w19,label,"N"
Wed Sep 02 2015 21:34:42 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Wed Sep 02 2015 21:34:42 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Wed Sep 02 2015 21:34:43 GMT+0800 (Malay Peninsula Standard Time),,s1w37,label,"A"
Wed Sep 02 2015 21:36:15 GMT+0800 (Malay Peninsula Standard Time),,s2w18,focus,
Wed Sep 02 2015 21:36:15 GMT+0800 (Malay Peninsula Standard Time),,s2w18,focus,
Wed Sep 02 2015 21:36:17 GMT+0800 (Malay Peninsula Standard Time),,s2w18,label,"A"
Wed Sep 02 2015 21:36:43 GMT+0800 (Malay Peninsula Standard Time),,s2w18,focus,
Wed Sep 02 2015 21:36:43 GMT+0800 (Malay Peninsula Standard Time),,s2w33,focus,
Wed Sep 02 2015 21:36:43 GMT+0800 (Malay Peninsula Standard Time),,s2w33,focus,
Wed Sep 02 2015 21:36:44 GMT+0800 (Malay Peninsula Standard Time),,s2w33,label,"A"
Wed Sep 02 2015 21:36:49 GMT+0800 (Malay Peninsula Standard Time),,s2w31,focus,
Wed Sep 02 2015 21:36:49 GMT+0800 (Malay Peninsula Standard Time),,s2w31,focus,
Wed Sep 02 2015 21:36:57 GMT+0800 (Malay Peninsula Standard Time),,s2w38,focus,
Wed Sep 02 2015 21:36:57 GMT+0800 (Malay Peninsula Standard Time),,s2w38,focus,
Wed Sep 02 2015 21:36:58 GMT+0800 (Malay Peninsula Standard Time),,s2w38,label,"A"
Wed Sep 02 2015 21:37:45 GMT+0800 (Malay Peninsula Standard Time),,s2w73,focus,
Wed Sep 02 2015 21:37:45 GMT+0800 (Malay Peninsula Standard Time),,s2w73,focus,
Wed Sep 02 2015 21:37:48 GMT+0800 (Malay Peninsula Standard Time),,s2w73,label,"^"
Wed Sep 02 2015 21:38:18 GMT+0800 (Malay Peninsula Standard Time),,s2w73,focus,
Wed Sep 02 2015 21:38:18 GMT+0800 (Malay Peninsula Standard Time),,s2w98,focus,
Wed Sep 02 2015 21:38:18 GMT+0800 (Malay Peninsula Standard Time),,s2w98,focus,
Wed Sep 02 2015 21:38:22 GMT+0800 (Malay Peninsula Standard Time),,s2w98,label,"^"
Wed Sep 02 2015 21:38:26 GMT+0800 (Malay Peninsula Standard Time),,s2w99,focus,
Wed Sep 02 2015 21:38:26 GMT+0800 (Malay Peninsula Standard Time),,s2w99,focus,
Wed Sep 02 2015 21:38:29 GMT+0800 (Malay Peninsula Standard Time),,s2w99,label,","
Wed Sep 02 2015 21:38:40 GMT+0800 (Malay Peninsula Standard Time),,s2w110,focus,
Wed Sep 02 2015 21:38:40 GMT+0800 (Malay Peninsula Standard Time),,s2w110,focus,
Wed Sep 02 2015 21:38:41 GMT+0800 (Malay Peninsula Standard Time),,s2w111,focus,
Wed Sep 02 2015 21:38:42 GMT+0800 (Malay Peninsula Standard Time),,s2w111,focus,
Wed Sep 02 2015 21:38:43 GMT+0800 (Malay Peninsula Standard Time),,s2w112,focus,
Wed Sep 02 2015 21:38:43 GMT+0800 (Malay Peninsula Standard Time),,s2w112,focus,
Wed Sep 02 2015 21:38:45 GMT+0800 (Malay Peninsula Standard Time),,s2w112,label,","
Wed Sep 02 2015 21:38:58 GMT+0800 (Malay Peninsula Standard Time),,s2w127,focus,
Wed Sep 02 2015 21:38:58 GMT+0800 (Malay Peninsula Standard Time),,s2w127,focus,
Wed Sep 02 2015 21:38:59 GMT+0800 (Malay Peninsula Standard Time),,s2w127,label,"^"
Wed Sep 02 2015 21:39:01 GMT+0800 (Malay Peninsula Standard Time),,s2w128,focus,
Wed Sep 02 2015 21:39:01 GMT+0800 (Malay Peninsula Standard Time),,s2w128,focus,
Wed Sep 02 2015 21:39:03 GMT+0800 (Malay Peninsula Standard Time),,s2w128,focus,
Wed Sep 02 2015 21:39:03 GMT+0800 (Malay Peninsula Standard Time),,s2w128,label,","
Wed Sep 02 2015 21:39:11 GMT+0800 (Malay Peninsula Standard Time),,s2w136,focus,
Wed Sep 02 2015 21:39:11 GMT+0800 (Malay Peninsula Standard Time),,s2w136,focus,
Wed Sep 02 2015 21:39:13 GMT+0800 (Malay Peninsula Standard Time),,s2w136,label,"N"
