Thu Sep 03 2015 14:29:23 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 14:29:23 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1200091
Thu Sep 03 2015 14:29:23 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1200091
Thu Sep 03 2015 14:29:23 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1200091
Thu Sep 03 2015 14:29:23 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1200091
Thu Sep 03 2015 14:29:23 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1200091
Thu Sep 03 2015 14:33:45 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,"Tokenization Error"
Thu Sep 03 2015 14:33:48 GMT+0800 (Malay Peninsula Standard Time),,s0,toggleMetadata,block
Thu Sep 03 2015 14:33:49 GMT+0800 (Malay Peninsula Standard Time),,s0,toggleMetadata,none
Thu Sep 03 2015 14:33:52 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,""
Thu Sep 03 2015 14:34:01 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,"Garbage"
Thu Sep 03 2015 14:34:05 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,""
Thu Sep 03 2015 14:34:08 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,"Garbage"
Thu Sep 03 2015 14:34:09 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,"Tokenization Error"
Thu Sep 03 2015 14:34:14 GMT+0800 (Malay Peninsula Standard Time),,s0,changeSentenceFlag,""
Thu Sep 03 2015 14:39:47 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 14:39:47 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 14:39:49 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"N"
Thu Sep 03 2015 14:40:14 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Thu Sep 03 2015 14:40:14 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Thu Sep 03 2015 14:40:19 GMT+0800 (Malay Peninsula Standard Time),,s0w9,label,"^"
Thu Sep 03 2015 14:40:50 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Thu Sep 03 2015 14:40:50 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Thu Sep 03 2015 14:40:50 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Thu Sep 03 2015 14:40:51 GMT+0800 (Malay Peninsula Standard Time),,s1w11,label,"^"
Thu Sep 03 2015 14:41:05 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Thu Sep 03 2015 14:41:05 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Thu Sep 03 2015 14:41:15 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Thu Sep 03 2015 14:41:15 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Thu Sep 03 2015 14:41:22 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 14:41:22 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 14:41:24 GMT+0800 (Malay Peninsula Standard Time),,s1w28,label,"N"
Thu Sep 03 2015 14:41:44 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 18:39:16 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 18:39:16 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 18:39:35 GMT+0800 (Malay Peninsula Standard Time),,s1w57,focus,
Thu Sep 03 2015 18:39:36 GMT+0800 (Malay Peninsula Standard Time),,s1w57,focus,
Thu Sep 03 2015 18:39:38 GMT+0800 (Malay Peninsula Standard Time),,s1w57,label,"^"
Thu Sep 03 2015 18:39:56 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Thu Sep 03 2015 18:39:56 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Thu Sep 03 2015 18:39:57 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,"^"
Thu Sep 03 2015 18:40:02 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 18:40:03 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 18:40:08 GMT+0800 (Malay Peninsula Standard Time),,s1w40,label,"N"
Thu Sep 03 2015 18:40:15 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Thu Sep 03 2015 18:40:15 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Thu Sep 03 2015 18:40:18 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,"N"
Thu Sep 03 2015 18:40:46 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Thu Sep 03 2015 18:40:46 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Thu Sep 03 2015 18:40:48 GMT+0800 (Malay Peninsula Standard Time),,s1w68,label,"N"
Thu Sep 03 2015 18:41:03 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Thu Sep 03 2015 18:41:04 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Thu Sep 03 2015 18:41:05 GMT+0800 (Malay Peninsula Standard Time),,s1w82,label,"^"
Thu Sep 03 2015 18:41:19 GMT+0800 (Malay Peninsula Standard Time),,s1w101,focus,
Thu Sep 03 2015 18:41:19 GMT+0800 (Malay Peninsula Standard Time),,s1w101,focus,
Thu Sep 03 2015 18:41:22 GMT+0800 (Malay Peninsula Standard Time),,s1w101,label,"G"
Thu Sep 03 2015 18:49:15 GMT+0800 (Malay Peninsula Standard Time),,s1w103,focus,
Thu Sep 03 2015 18:49:16 GMT+0800 (Malay Peninsula Standard Time),,s1w103,focus,
Thu Sep 03 2015 18:49:17 GMT+0800 (Malay Peninsula Standard Time),,s1w103,label,"G"
Thu Sep 03 2015 18:49:22 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Thu Sep 03 2015 18:49:22 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Thu Sep 03 2015 18:49:23 GMT+0800 (Malay Peninsula Standard Time),,s1w107,label,"^"
Thu Sep 03 2015 18:49:28 GMT+0800 (Malay Peninsula Standard Time),,s1w115,focus,
Thu Sep 03 2015 18:49:28 GMT+0800 (Malay Peninsula Standard Time),,s1w115,focus,
Thu Sep 03 2015 18:49:39 GMT+0800 (Malay Peninsula Standard Time),,s1w116,focus,
Thu Sep 03 2015 18:49:39 GMT+0800 (Malay Peninsula Standard Time),,s1w116,focus,
Thu Sep 03 2015 18:49:40 GMT+0800 (Malay Peninsula Standard Time),,s1w116,label,"^"
Thu Sep 03 2015 18:49:56 GMT+0800 (Malay Peninsula Standard Time),,s1w128,focus,
Thu Sep 03 2015 18:49:57 GMT+0800 (Malay Peninsula Standard Time),,s1w128,focus,
Thu Sep 03 2015 18:49:57 GMT+0800 (Malay Peninsula Standard Time),,s1w128,label,"G"
Thu Sep 03 2015 18:50:00 GMT+0800 (Malay Peninsula Standard Time),,s1w140,focus,
Thu Sep 03 2015 18:50:00 GMT+0800 (Malay Peninsula Standard Time),,s1w140,focus,
Thu Sep 03 2015 18:50:04 GMT+0800 (Malay Peninsula Standard Time),,s1w140,label,"N"
Thu Sep 03 2015 18:50:18 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 18:50:18 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 18:50:34 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 18:50:35 GMT+0800 (Malay Peninsula Standard Time),,s2w21,focus,
Thu Sep 03 2015 18:50:35 GMT+0800 (Malay Peninsula Standard Time),,s2w21,focus,
Thu Sep 03 2015 18:50:37 GMT+0800 (Malay Peninsula Standard Time),,s2w21,label,"^"
Thu Sep 03 2015 18:52:19 GMT+0800 (Malay Peninsula Standard Time),,s2w61,focus,
Thu Sep 03 2015 18:52:19 GMT+0800 (Malay Peninsula Standard Time),,s2w61,focus,
Thu Sep 03 2015 18:52:20 GMT+0800 (Malay Peninsula Standard Time),,s2w49,focus,
Thu Sep 03 2015 18:52:20 GMT+0800 (Malay Peninsula Standard Time),,s2w49,focus,
Thu Sep 03 2015 18:52:22 GMT+0800 (Malay Peninsula Standard Time),,s2w49,label,"N"
Thu Sep 03 2015 18:52:28 GMT+0800 (Malay Peninsula Standard Time),,s2w53,focus,
Thu Sep 03 2015 18:52:28 GMT+0800 (Malay Peninsula Standard Time),,s2w53,focus,
Thu Sep 03 2015 18:52:29 GMT+0800 (Malay Peninsula Standard Time),,s2w53,label,","
Thu Sep 03 2015 18:52:41 GMT+0800 (Malay Peninsula Standard Time),,s2w76,focus,
Thu Sep 03 2015 18:52:41 GMT+0800 (Malay Peninsula Standard Time),,s2w76,focus,
Thu Sep 03 2015 18:52:42 GMT+0800 (Malay Peninsula Standard Time),,s2w76,label,"N"
Thu Sep 03 2015 18:52:59 GMT+0800 (Malay Peninsula Standard Time),,s2w77,focus,
Thu Sep 03 2015 18:53:01 GMT+0800 (Malay Peninsula Standard Time),,s2w78,focus,
