Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1199376
Thu Sep 03 2015 12:57:19 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1199376
Thu Sep 03 2015 13:10:14 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Thu Sep 03 2015 13:10:14 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Thu Sep 03 2015 13:10:17 GMT+0800 (Malay Peninsula Standard Time),,s1w8,label,"^"
Thu Sep 03 2015 13:10:25 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Thu Sep 03 2015 13:10:25 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Thu Sep 03 2015 13:10:28 GMT+0800 (Malay Peninsula Standard Time),,s1w13,label,"^"
Thu Sep 03 2015 13:10:30 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Thu Sep 03 2015 13:10:30 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Thu Sep 03 2015 13:10:32 GMT+0800 (Malay Peninsula Standard Time),,s1w14,label,"^"
Thu Sep 03 2015 13:10:52 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Thu Sep 03 2015 13:10:52 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Thu Sep 03 2015 13:10:54 GMT+0800 (Malay Peninsula Standard Time),,s1w35,label,"G"
Thu Sep 03 2015 13:11:00 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 13:11:00 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 13:11:01 GMT+0800 (Malay Peninsula Standard Time),,s1w36,label,"V"
Thu Sep 03 2015 13:11:05 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 13:11:05 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 13:11:06 GMT+0800 (Malay Peninsula Standard Time),,s1w40,label,","
Thu Sep 03 2015 13:11:07 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 13:11:08 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Thu Sep 03 2015 13:11:10 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Thu Sep 03 2015 13:11:11 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Thu Sep 03 2015 13:11:12 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Thu Sep 03 2015 13:11:13 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Thu Sep 03 2015 13:11:15 GMT+0800 (Malay Peninsula Standard Time),,s1w46,label,"V"
Thu Sep 03 2015 13:11:18 GMT+0800 (Malay Peninsula Standard Time),,s1w46,label,"N"
Thu Sep 03 2015 13:11:19 GMT+0800 (Malay Peninsula Standard Time),,s1w47,focus,
Thu Sep 03 2015 13:11:20 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Thu Sep 03 2015 13:11:21 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Thu Sep 03 2015 13:11:22 GMT+0800 (Malay Peninsula Standard Time),,s1w50,focus,
Thu Sep 03 2015 13:11:22 GMT+0800 (Malay Peninsula Standard Time),,s1w51,focus,
Thu Sep 03 2015 13:11:23 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
