Thu Sep 03 2015 13:45:34 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 13:45:34 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1199545
Thu Sep 03 2015 13:45:34 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1199545
Thu Sep 03 2015 13:45:34 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1199545
Thu Sep 03 2015 13:45:34 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1199545
Thu Sep 03 2015 14:24:16 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 14:24:16 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 14:24:20 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"N"
Thu Sep 03 2015 14:24:26 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 14:24:26 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 14:24:37 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Thu Sep 03 2015 14:24:38 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Thu Sep 03 2015 14:24:38 GMT+0800 (Malay Peninsula Standard Time),,s1w3,label,"A"
Thu Sep 03 2015 14:24:54 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 14:24:54 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 14:25:12 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 14:25:12 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 14:25:12 GMT+0800 (Malay Peninsula Standard Time),,s0w8,label,"N"
Thu Sep 03 2015 14:25:20 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Thu Sep 03 2015 14:25:20 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Thu Sep 03 2015 14:25:23 GMT+0800 (Malay Peninsula Standard Time),,s2w15,label,"^"
Thu Sep 03 2015 14:25:24 GMT+0800 (Malay Peninsula Standard Time),,s2w17,focus,
Thu Sep 03 2015 14:25:24 GMT+0800 (Malay Peninsula Standard Time),,s2w17,focus,
Thu Sep 03 2015 14:25:25 GMT+0800 (Malay Peninsula Standard Time),,s2w17,label,"^"
Thu Sep 03 2015 14:25:28 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Thu Sep 03 2015 14:25:28 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Thu Sep 03 2015 14:25:32 GMT+0800 (Malay Peninsula Standard Time),,s2w15,label,"V"
Thu Sep 03 2015 14:25:33 GMT+0800 (Malay Peninsula Standard Time),,s2w17,focus,
Thu Sep 03 2015 14:25:33 GMT+0800 (Malay Peninsula Standard Time),,s2w17,focus,
Thu Sep 03 2015 14:25:33 GMT+0800 (Malay Peninsula Standard Time),,s2w17,label,"V"
Thu Sep 03 2015 14:26:07 GMT+0800 (Malay Peninsula Standard Time),,s2w49,focus,
Thu Sep 03 2015 14:26:07 GMT+0800 (Malay Peninsula Standard Time),,s2w49,focus,
Thu Sep 03 2015 14:26:08 GMT+0800 (Malay Peninsula Standard Time),,s2w49,label,"V"
Thu Sep 03 2015 14:26:23 GMT+0800 (Malay Peninsula Standard Time),,s2w65,focus,
Thu Sep 03 2015 14:26:23 GMT+0800 (Malay Peninsula Standard Time),,s2w65,focus,
Thu Sep 03 2015 14:26:25 GMT+0800 (Malay Peninsula Standard Time),,s2w65,label,"R"
Thu Sep 03 2015 14:26:46 GMT+0800 (Malay Peninsula Standard Time),,s2w93,focus,
Thu Sep 03 2015 14:26:47 GMT+0800 (Malay Peninsula Standard Time),,s2w93,focus,
Thu Sep 03 2015 14:26:50 GMT+0800 (Malay Peninsula Standard Time),,s2w93,label,"A"
Thu Sep 03 2015 14:26:58 GMT+0800 (Malay Peninsula Standard Time),,s2w102,focus,
Thu Sep 03 2015 14:26:58 GMT+0800 (Malay Peninsula Standard Time),,s2w102,focus,
Thu Sep 03 2015 14:26:59 GMT+0800 (Malay Peninsula Standard Time),,s2w102,label,"N"
Thu Sep 03 2015 14:27:00 GMT+0800 (Malay Peninsula Standard Time),,s2w102,focus,
Thu Sep 03 2015 14:27:02 GMT+0800 (Malay Peninsula Standard Time),,s2w102,label,"V"
Thu Sep 03 2015 14:27:08 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Thu Sep 03 2015 14:27:08 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Thu Sep 03 2015 14:27:10 GMT+0800 (Malay Peninsula Standard Time),,s3w4,label,"^"
Thu Sep 03 2015 14:27:22 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Thu Sep 03 2015 14:27:22 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Thu Sep 03 2015 14:27:28 GMT+0800 (Malay Peninsula Standard Time),,s3w10,label,"A"
