Thu Sep 03 2015 10:11:47 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 10:11:47 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1180666
Thu Sep 03 2015 10:11:47 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1180666
Thu Sep 03 2015 10:11:47 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1180666
Thu Sep 03 2015 10:11:47 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1180666
Thu Sep 03 2015 10:11:47 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1180666
Thu Sep 03 2015 10:11:58 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 10:11:58 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 10:12:00 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"A"
Thu Sep 03 2015 10:12:08 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 10:12:12 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 10:12:13 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 10:12:14 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Thu Sep 03 2015 10:12:15 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Thu Sep 03 2015 10:12:15 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Thu Sep 03 2015 10:12:16 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 10:12:17 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Thu Sep 03 2015 10:12:18 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Thu Sep 03 2015 10:12:19 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Thu Sep 03 2015 10:12:20 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Thu Sep 03 2015 10:12:22 GMT+0800 (Malay Peninsula Standard Time),,s0w13,focus,
Thu Sep 03 2015 10:12:22 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Thu Sep 03 2015 10:12:25 GMT+0800 (Malay Peninsula Standard Time),,s0w14,label,"G"
Thu Sep 03 2015 10:12:26 GMT+0800 (Malay Peninsula Standard Time),,s0w15,focus,
Thu Sep 03 2015 10:12:27 GMT+0800 (Malay Peninsula Standard Time),,s0w16,focus,
Thu Sep 03 2015 10:12:27 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Thu Sep 03 2015 10:12:29 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Thu Sep 03 2015 10:12:29 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Thu Sep 03 2015 10:12:30 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Thu Sep 03 2015 10:12:30 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Thu Sep 03 2015 10:12:31 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 10:12:32 GMT+0800 (Malay Peninsula Standard Time),,s1w6,label,"^"
Thu Sep 03 2015 10:13:26 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 10:14:45 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 10:15:40 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 10:16:02 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Thu Sep 03 2015 10:16:02 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Thu Sep 03 2015 10:16:05 GMT+0800 (Malay Peninsula Standard Time),,s1w15,label,"A"
Thu Sep 03 2015 10:16:16 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Thu Sep 03 2015 10:16:16 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Thu Sep 03 2015 10:16:18 GMT+0800 (Malay Peninsula Standard Time),,s1w15,label,"N"
Thu Sep 03 2015 10:41:28 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 10:41:28 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 10:41:29 GMT+0800 (Malay Peninsula Standard Time),,s1w41,label,"A"
Thu Sep 03 2015 10:41:57 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 10:42:56 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 10:43:26 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 10:43:51 GMT+0800 (Malay Peninsula Standard Time),,s3w27,focus,
Thu Sep 03 2015 10:43:51 GMT+0800 (Malay Peninsula Standard Time),,s3w27,focus,
Thu Sep 03 2015 10:43:54 GMT+0800 (Malay Peninsula Standard Time),,s3w27,label,"V"
Thu Sep 03 2015 10:44:00 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Thu Sep 03 2015 10:44:00 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Thu Sep 03 2015 10:44:02 GMT+0800 (Malay Peninsula Standard Time),,s3w18,label,"N"
Thu Sep 03 2015 10:45:19 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Thu Sep 03 2015 10:48:44 GMT+0800 (Malay Peninsula Standard Time),,s3w40,focus,
Thu Sep 03 2015 10:48:45 GMT+0800 (Malay Peninsula Standard Time),,s3w40,focus,
Thu Sep 03 2015 10:48:46 GMT+0800 (Malay Peninsula Standard Time),,s3w40,label,"N"
Thu Sep 03 2015 10:52:51 GMT+0800 (Malay Peninsula Standard Time),,s4w33,focus,
Thu Sep 03 2015 10:52:51 GMT+0800 (Malay Peninsula Standard Time),,s4w33,focus,
Thu Sep 03 2015 10:53:07 GMT+0800 (Malay Peninsula Standard Time),,s4w50,focus,
Thu Sep 03 2015 10:53:07 GMT+0800 (Malay Peninsula Standard Time),,s4w50,focus,
Thu Sep 03 2015 10:53:10 GMT+0800 (Malay Peninsula Standard Time),,s4w50,label,"N"
Thu Sep 03 2015 10:53:15 GMT+0800 (Malay Peninsula Standard Time),,s4w33,focus,
Thu Sep 03 2015 10:53:15 GMT+0800 (Malay Peninsula Standard Time),,s4w33,focus,
Thu Sep 03 2015 10:53:17 GMT+0800 (Malay Peninsula Standard Time),,s4w33,label,"A"
Thu Sep 03 2015 10:53:49 GMT+0800 (Malay Peninsula Standard Time),,s4w71,focus,
Thu Sep 03 2015 10:53:49 GMT+0800 (Malay Peninsula Standard Time),,s4w71,focus,
Thu Sep 03 2015 10:53:52 GMT+0800 (Malay Peninsula Standard Time),,s4w71,label,"N"
Thu Sep 03 2015 10:53:57 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
